Date,Open,High,Low,Close,Adj Close,Volume
2021-10-14,3625.000000,3670.000000,3608.199951,3611.449951,3571.565674,6442299
2021-10-18,3603.449951,3652.699951,3601.449951,3647.149902,3606.871338,3590107
2021-10-19,3669.000000,3690.100098,3625.199951,3634.149902,3594.014893,3135441
2021-10-20,3612.000000,3630.000000,3578.300049,3608.850098,3568.994385,2933693
2021-10-21,3604.100098,3607.449951,3511.250000,3532.500000,3493.487549,4871211
2021-10-22,3560.000000,3561.600098,3485.000000,3498.850098,3460.209473,2691670
2021-10-25,3503.000000,3514.550049,3450.000000,3492.949951,3454.374512,2595594
2021-10-26,3494.500000,3529.000000,3475.000000,3482.600098,3444.138916,3878763
2021-10-27,3483.000000,3511.250000,3483.000000,3489.750000,3451.209717,2510813
2021-10-28,3518.000000,3518.000000,3415.000000,3421.649902,3383.861816,2424942
2021-10-29,3400.050049,3461.000000,3385.949951,3397.750000,3360.225830,3960501
2021-11-01,3437.949951,3487.000000,3412.949951,3476.399902,3438.006836,2020718
2021-11-02,3494.000000,3513.600098,3469.750000,3484.199951,3445.721191,3087414
2021-11-03,3504.199951,3519.899902,3466.050049,3492.250000,3453.682373,1537639
2021-11-04,3512.949951,3513.250000,3505.000000,3508.649902,3469.900879,328991
2021-11-08,3548.000000,3548.000000,3481.199951,3502.750000,3464.066162,2526082
2021-11-09,3508.000000,3535.000000,3496.000000,3505.699951,3466.983643,1782692
2021-11-10,3498.000000,3519.699951,3480.199951,3484.300049,3445.820068,1516489
2021-11-11,3480.000000,3510.050049,3436.000000,3488.199951,3449.676758,1284514
2021-11-12,3506.000000,3534.149902,3485.699951,3526.050049,3487.109131,1747259
2021-11-15,3528.000000,3569.600098,3528.000000,3553.300049,3514.057861,1809157
2021-11-16,3569.000000,3575.550049,3542.000000,3556.399902,3517.123779,2013204
2021-11-17,3550.600098,3562.850098,3506.399902,3521.899902,3483.004639,1632914
2021-11-18,3515.149902,3520.850098,3451.600098,3475.699951,3437.314941,2136598
2021-11-22,3478.399902,3515.949951,3440.300049,3458.399902,3420.206055,3167936
2021-11-23,3445.000000,3480.949951,3407.800049,3464.250000,3425.991455,2153461
2021-11-24,3472.199951,3493.050049,3424.000000,3443.300049,3405.272949,2161746
2021-11-25,3443.899902,3463.000000,3434.050049,3445.899902,3407.843994,1849619
2021-11-26,3425.000000,3490.000000,3411.899902,3446.850098,3408.783691,1941251
2021-11-29,3447.149902,3529.350098,3406.449951,3502.000000,3463.324463,2981745
2021-11-30,3491.000000,3563.750000,3491.000000,3529.149902,3490.174561,5588446
2021-12-01,3535.000000,3590.000000,3535.000000,3577.800049,3538.287598,2102118
2021-12-02,3589.199951,3648.000000,3574.100098,3642.899902,3602.668213,3152938
2021-12-03,3646.449951,3665.949951,3630.850098,3640.449951,3600.245361,2486263
2021-12-06,3640.449951,3658.000000,3522.000000,3536.399902,3497.344482,1849642
2021-12-07,3562.500000,3598.000000,3524.300049,3584.500000,3544.913574,1484458
2021-12-08,3601.000000,3646.449951,3601.000000,3626.899902,3586.845215,1428660
2021-12-09,3610.000000,3634.750000,3566.000000,3601.750000,3561.972900,1567957
2021-12-10,3585.000000,3642.000000,3575.100098,3636.800049,3596.635986,1510718
2021-12-13,3650.000000,3662.000000,3601.699951,3609.649902,3569.785889,1883864
2021-12-14,3605.000000,3635.000000,3576.699951,3623.800049,3583.779297,1747007
2021-12-15,3620.000000,3623.000000,3558.149902,3570.350098,3530.919678,1603233
2021-12-16,3582.000000,3608.449951,3570.000000,3581.600098,3542.045654,2072320
2021-12-17,3602.500000,3651.350098,3573.699951,3584.350098,3544.765137,4333992
2021-12-20,3589.000000,3606.000000,3510.149902,3556.899902,3517.618164,2312310
2021-12-21,3582.649902,3641.199951,3566.399902,3608.300049,3568.450439,2340989
2021-12-22,3624.000000,3636.800049,3606.250000,3630.750000,3590.652588,1224328
2021-12-23,3648.000000,3670.500000,3630.000000,3662.699951,3622.249512,1792861
2021-12-24,3685.000000,3705.000000,3644.800049,3670.899902,3630.359131,2209923
2021-12-27,3671.000000,3700.000000,3653.100098,3696.100098,3655.281006,1534135
2021-12-28,3710.000000,3725.000000,3693.850098,3706.550049,3665.615723,1456218
2021-12-29,3692.250000,3719.949951,3685.000000,3694.699951,3653.896240,1456923
2021-12-30,3681.350098,3740.000000,3680.000000,3733.750000,3692.514893,1966475
2021-12-31,3742.800049,3760.000000,3731.300049,3738.350098,3697.064453,1207141
2022-01-03,3750.000000,3830.000000,3745.000000,3817.750000,3775.587158,2346158
2022-01-04,3831.100098,3889.149902,3811.699951,3884.750000,3841.847412,2488606
2022-01-05,3865.000000,3870.000000,3812.399902,3860.949951,3818.310547,1733031
2022-01-06,3812.000000,3835.000000,3772.000000,3807.449951,3765.401123,1810293
2022-01-07,3820.000000,3864.899902,3796.399902,3853.500000,3810.942627,2460591
2022-01-10,3978.000000,3978.000000,3861.000000,3879.850098,3837.001709,3937092
2022-01-11,3856.000000,3925.000000,3856.000000,3915.899902,3872.653320,1906106
2022-01-12,3925.000000,3929.000000,3836.550049,3859.899902,3817.271729,3203744
2022-01-13,3918.000000,3923.000000,3857.000000,3897.899902,3854.852051,6684507
2022-01-14,3877.850098,3977.000000,3860.050049,3968.149902,3924.326416,3348123
2022-01-17,3992.699951,4043.000000,3962.300049,4019.149902,3974.763184,3442604
2022-01-18,4033.949951,4041.699951,3980.000000,3990.600098,3946.528809,2389041
2022-01-19,4012.000000,4012.000000,3910.500000,3914.649902,3878.220215,3102539
2022-01-20,3910.000000,3920.000000,3811.000000,3826.550049,3790.940186,6176776
2022-01-21,3807.000000,3851.550049,3771.100098,3833.500000,3797.825439,3112358
2022-01-24,3840.000000,3849.649902,3740.100098,3771.350098,3736.253906,3258414
2022-01-25,3769.500000,3809.399902,3722.199951,3769.899902,3734.816895,3330501
2022-01-27,3731.000000,3733.399902,3625.100098,3649.250000,3615.290039,5718297
2022-01-28,3646.000000,3729.800049,3646.000000,3690.050049,3655.710449,3143862
2022-01-31,3749.000000,3758.000000,3721.399902,3736.250000,3701.480225,2739393
2022-02-01,3770.000000,3808.000000,3736.399902,3800.649902,3765.281006,2105169
2022-02-02,3827.899902,3864.000000,3800.649902,3856.199951,3820.313965,1984212
2022-02-03,3851.000000,3882.500000,3816.050049,3824.600098,3789.008301,1960538
2022-02-04,3815.300049,3824.699951,3769.000000,3814.899902,3779.398193,2307366
2022-02-07,3791.000000,3831.800049,3756.149902,3779.000000,3743.832275,1919149
2022-02-08,3791.550049,3799.699951,3721.000000,3743.449951,3708.613281,2946443
2022-02-09,3750.000000,3777.949951,3746.100098,3760.550049,3725.554199,1638721
2022-02-10,3789.800049,3789.800049,3758.000000,3770.350098,3735.263184,2112459
2022-02-11,3752.500000,3752.500000,3690.000000,3694.949951,3660.564697,3851488
2022-02-14,3724.000000,3793.250000,3710.000000,3733.750000,3699.003418,5951745
2022-02-15,3786.000000,3835.000000,3748.000000,3817.800049,3782.271484,3931683
2022-02-16,3844.000000,3854.100098,3806.000000,3813.100098,3777.615234,3256906
2022-02-17,3825.000000,3835.000000,3779.000000,3784.199951,3748.983887,3134372
2022-02-18,3769.000000,3815.949951,3757.600098,3793.899902,3758.593750,3688883
2022-02-21,3810.000000,3827.800049,3705.550049,3719.399902,3684.787109,7465922
2022-02-22,3650.000000,3667.899902,3570.000000,3586.399902,3553.024658,5408531
2022-02-23,3611.000000,3622.899902,3555.649902,3563.800049,3530.635254,2426203
2022-02-24,3474.000000,3483.850098,3391.100098,3401.649902,3369.993896,5039136
2022-02-25,3468.000000,3530.000000,3462.000000,3520.750000,3487.985596,2549723
2022-02-28,3490.000000,3563.750000,3455.899902,3554.199951,3521.124268,3288942
2022-03-02,3552.500000,3571.949951,3506.000000,3546.149902,3513.149170,2761341
2022-03-03,3562.850098,3578.600098,3530.100098,3544.399902,3511.415527,1928039
2022-03-04,3501.500000,3561.199951,3487.050049,3524.350098,3491.552246,2370257
2022-03-07,3450.000000,3548.000000,3431.550049,3484.899902,3452.469238,3054130
2022-03-08,3460.000000,3609.000000,3460.000000,3599.949951,3566.448730,3300992
2022-03-09,3605.000000,3654.000000,3597.050049,3632.600098,3598.794922,2719654
